_id,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name
1,2024-04-01,00,1,OTOYOL,USKUDAR-YENI MAHALLE,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,15Y
2,2024-04-01,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,DT2
3,2024-04-01,00,1,OTOYOL,CEBECI - TAKSIM,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,ATASEHIR,36T
4,2024-04-01,00,1,OTOYOL,BESIKTAS - MECIDIYEKOY,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,30M
5,2024-04-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,ZEYTINBURNU,34
6,2024-04-01,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,11ÃœS
7,2024-04-01,00,2,RAYLI,KADIKOY-KARTAL,Normal,2,2,INDIRIMLI1,Indirimli Kontur,PENDIK,M4
8,2024-04-01,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,,Ucretsiz,BEYOGLU,M2
9,2024-04-01,00,1,OTOYOL,BASAKSEHIR METROKENT-EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,78
10,2024-04-01,00,1,OTOYOL,USKUDAR-YENI MAHALLE,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,15Y
11,2024-04-01,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,6,5,TAM,Tam Kontur,BAKIRKOY,55T
12,2024-04-01,00,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,2,2,INDIRIMLI1,Tam Kontur,ATASEHIR,150
